,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Teguise,0,ES,1536118200,83,29.06,-13.56,71.6,11.41
1,Kohima,0,IN,1536119686,84,25.66,94.1,78.2,1.45
2,Carnarvon,8,ZA,1536119687,62,-30.97,22.13,30.86,5.48
3,Pangoa,56,PE,1536119687,95,-12.12,-73.0,63.53,1.68
4,Riyadh,0,SA,1536116400,13,24.63,46.72,89.6,5.82
5,Nouakchott,68,MR,1536119602,100,18.08,-15.98,78.65,6.93
6,Cape Town,40,ZA,1536116400,87,-33.93,18.42,51.8,10.29
7,Vila Franca do Campo,20,PT,1536118200,88,37.72,-25.43,68.0,8.05
8,Jamestown,12,AU,1536119578,38,-33.21,138.6,62.63,18.79
9,Rikitea,76,PF,1536119573,100,-23.12,-134.97,71.54,26.17
10,Cidreira,12,BR,1536119688,95,-30.17,-50.22,50.21,5.37
11,Homer,1,US,1536115980,77,59.64,-151.54,59.0,10.29
12,New Norfolk,75,AU,1536118200,54,-42.78,147.06,57.2,4.7
13,Gambo,0,NG,1536119688,91,11.96,9.63,73.43,8.61
14,Castro,64,CL,1536119564,97,-42.48,-73.76,40.76,3.02
15,Rikitea,76,PF,1536119573,100,-23.12,-134.97,71.54,26.17
16,Mataura,0,NZ,1536119563,87,-46.19,168.86,53.36,4.59
17,Sibolga,68,ID,1536119665,74,1.74,98.78,78.2,1.34
18,Albany,20,US,1536116040,78,42.65,-73.75,71.96,2.01
19,East London,0,ZA,1536116400,76,-33.02,27.91,53.6,10.29
20,Rawson,12,AR,1536119689,62,-43.3,-65.11,48.23,12.08
21,Ahipara,92,NZ,1536119690,88,-35.17,173.16,56.06,14.99
22,Zyryanka,0,RU,1536119690,66,65.73,150.89,49.13,3.58
23,Buraydah,0,SA,1536116400,30,26.33,43.97,86.0,8.05
24,Saint-Philippe,90,CA,1536117300,72,45.36,-73.48,71.6,3.36
25,Mackay,5,CA,1536116400,71,53.65,-115.58,50.0,3.36
26,Yerbogachen,44,RU,1536119691,63,61.28,108.01,53.09,9.73
27,Yulara,0,AU,1536117120,14,-25.24,130.99,87.8,25.28
28,Mataura,0,NZ,1536119563,87,-46.19,168.86,53.36,4.59
29,Caravelas,64,BR,1536119691,98,-17.73,-39.27,77.03,21.81
30,Bethel,90,US,1536118020,63,60.79,-161.76,53.06,6.93
31,Upernavik,0,GL,1536119587,100,72.79,-56.15,36.44,11.74
32,Georgetown,20,GY,1536116400,100,6.8,-58.16,75.2,3.58
33,Tasiilaq,92,GL,1536115800,96,65.61,-37.64,41.0,1.12
34,Kapaa,40,US,1536116160,84,22.08,-159.32,84.92,14.99
35,Khasan,32,RU,1536119692,85,42.43,130.64,71.81,11.18
36,Yellowknife,75,CA,1536116400,75,62.45,-114.38,44.6,17.22
37,Petropavlovsk-Kamchatskiy,40,RU,1536116400,67,53.05,158.65,62.6,11.18
38,Faanui,68,PF,1536119607,100,-16.48,-151.75,78.2,16.22
39,Deputatskiy,0,RU,1536119693,57,69.3,139.9,39.95,11.41
40,Punta Arenas,75,CL,1536116400,74,-53.16,-70.91,37.4,27.51
41,Cape Town,40,ZA,1536116400,87,-33.93,18.42,51.8,10.29
42,Port Alfred,20,ZA,1536119594,93,-33.59,26.89,64.79,12.53
43,Hermanus,100,ZA,1536119594,99,-34.42,19.24,48.77,4.92
44,Hermanus,100,ZA,1536119594,99,-34.42,19.24,48.77,4.92
45,Lebu,75,ET,1536116400,93,8.96,38.73,53.6,2.24
46,Khatanga,92,RU,1536119694,98,71.98,102.47,41.21,26.73
47,Hobart,75,AU,1536118200,54,-42.88,147.33,57.2,4.7
48,Ushuaia,90,AR,1536116400,87,-54.81,-68.31,39.2,38.03
49,Lorengau,56,PG,1536119694,100,-2.02,147.27,83.06,5.03
50,Port Blair,68,IN,1536119618,100,11.67,92.75,77.66,16.78
51,Hilo,75,US,1536118260,73,19.71,-155.08,82.04,4.7
52,Hithadhoo,44,MV,1536119584,100,-0.6,73.08,78.47,5.93
53,Butaritari,32,KI,1536119595,100,3.07,172.79,84.59,6.6
54,Tuktoyaktuk,40,CA,1536116400,100,69.44,-133.03,37.4,6.93
55,Dubbo,75,AU,1536118200,37,-32.25,148.6,68.0,10.29
56,Busselton,76,AU,1536119562,100,-33.64,115.35,57.23,19.57
57,Ushuaia,90,AR,1536116400,87,-54.81,-68.31,39.2,38.03
58,Yellowknife,75,CA,1536116400,75,62.45,-114.38,44.6,17.22
59,Busselton,76,AU,1536119562,100,-33.64,115.35,57.23,19.57
60,Port Alfred,20,ZA,1536119594,93,-33.59,26.89,64.79,12.53
61,Dongsheng,0,CN,1536119696,56,29.72,112.52,93.05,4.7
62,Bredasdorp,80,ZA,1536116400,81,-34.53,20.04,51.8,3.36
63,Arraial do Cabo,48,BR,1536119696,100,-22.97,-42.02,66.14,23.6
64,Busselton,76,AU,1536119562,100,-33.64,115.35,57.23,19.57
65,Kommunar,36,RU,1536116400,100,59.62,30.39,59.0,4.47
66,Mastic Beach,1,US,1536118980,90,40.77,-72.85,78.08,11.07
67,Barrow,8,AR,1536119400,54,-38.31,-60.23,58.67,14.99
68,Hami,0,CN,1536119697,40,42.84,93.51,66.77,2.91
69,Port Elizabeth,1,US,1536116160,90,39.31,-74.98,82.94,4.36
70,Mataura,0,NZ,1536119563,87,-46.19,168.86,53.36,4.59
71,Saskylakh,32,RU,1536119599,92,71.97,114.09,46.43,13.2
72,Salinas,1,US,1536118500,87,36.67,-121.66,60.08,8.05
73,Rikitea,76,PF,1536119573,100,-23.12,-134.97,71.54,26.17
74,Ushuaia,90,AR,1536116400,87,-54.81,-68.31,39.2,38.03
75,Tskneti,40,GE,1536118200,63,41.69,44.69,66.2,2.24
76,Yellowknife,75,CA,1536116400,75,62.45,-114.38,44.6,17.22
77,Vannes,12,FR,1536118200,100,47.66,-2.76,62.6,9.17
78,Tasiilaq,92,GL,1536115800,96,65.61,-37.64,41.0,1.12
79,Moranbah,64,AU,1536119699,47,-22.0,148.04,73.34,9.62
80,Westlock,0,CA,1536119699,72,54.15,-113.85,47.06,4.59
81,Codrington,92,AU,1536119579,100,-28.95,153.24,58.04,4.59
82,Yar-Sale,44,RU,1536119593,92,66.83,70.83,56.78,11.07
83,Saldanha,76,PT,1536119617,93,41.42,-6.55,55.97,1.12
84,Bethel,90,US,1536118020,63,60.79,-161.76,53.06,6.93
85,Verkhnevilyuysk,0,RU,1536119700,58,63.45,120.31,49.94,9.06
86,Rikitea,76,PF,1536119573,100,-23.12,-134.97,71.54,26.17
87,Black Diamond,1,CA,1536116400,70,50.69,-114.23,50.0,8.05
88,Istok,76,PL,1536119701,96,52.85,23.44,59.93,8.5
89,Cape Town,40,ZA,1536116400,87,-33.93,18.42,51.8,10.29
90,Los Llanos de Aridane,20,ES,1536118200,73,28.66,-17.92,71.6,9.17
91,Vaini,76,IN,1536119612,99,15.34,74.49,70.55,6.04
92,Taksimo,0,RU,1536119701,64,56.36,114.84,51.11,2.57
93,Ushuaia,90,AR,1536116400,87,-54.81,-68.31,39.2,38.03
94,Fortuna,20,ES,1536118200,88,38.18,-1.13,75.2,1.9
95,Chegdomyn,92,RU,1536119702,98,51.13,133.04,55.34,6.93
96,Bluff,0,AU,1536119589,50,-23.58,149.07,75.59,9.51
97,Ushuaia,90,AR,1536116400,87,-54.81,-68.31,39.2,38.03
